"name","url","standard"
"Student Discount","https://www.showpo.com/student-discount.html","WCAG2A"
"Shipping Info","https://www.showpo.com/shipping-info/","WCAG2A"
"Returns Info","https://www.showpo.com/returnsinfo/","WCAG2A"
"Home Page","https://www.showpo.com/","WCAG2A"
"Size Chart","https://www.showpo.com/general-sizing-chart.html","WCAG2A"
"Catalog Page","https://www.showpo.com/dresses/","WCAG2A"
"Wishlist","https://www.showpo.com/wishlist/","WCAG2A"
"Sales Page","https://www.showpo.com/sale/","WCAG2A"
"Help Centre","https://www.showpo.com/helpcentre/","WCAG2A"
"Product Detail Page","https://www.showpo.com/keep-the-party-going-dress-in-wine-lurex.html","WCAG2A"
"Login","https://www.showpo.com/login/","WCAG2A"
"Cart","https://www.showpo.com/cart/","WCAG2A"
"Account","https://www.showpo.com/account","WCAG2A"
"Checkout Member/Guest","https://www.showpo.com/checkout-login/","WCAG2A"
"Checkout Shipping","https://www.showpo.com/checkoutbegin/?stage=shipping#shipping","WCAG2A"
"Checkout Login - AB Test Checkout Reduced Login Options Page 2","https://www.showpo.com/checkoutbegin/checkout-login-?n=1","WCAG2A"
"Checkout Payments","https://www.showpo.com/checkoutbegin/?stage=payment#payment","WCAG2A"
"Checkout Login - AB Test Checkout Reduced Login Options Page 1","https://www.showpo.com/checkoutbegin/checkout-login-?n=1","WCAG2A"
"Checkout Login - AB Test Checkout Full Login Options","https://www.showpo.com/checkoutbegin/?stage=payment#payment","WCAG2A"
"Sign Up","https://www.showpo.com/login/#register","WCAG2A"
"Checkout Payments - Path AB Test Checkout Reduced Login Options","https://www.showpo.com/checkoutbegin/?stage=payment#payment","WCAG2A"
